x	y	a	b
308	375	420	580
364	358	476	568
420	342	532	549
476	327	588	533
532	314	644	517
588	297	700	501
644	286	756	486
700	275	812	473
756	265	868	461
812	258	924	449
868	254	980	441
924	249	1036	434
980	248	1092	429
1036	248	1148	425
1092	248	1204	425
1148	249	1260	431
1204	250	1316	437
1260	255	1372	445
1316	262	1428	454
1372	269	1484	466
1428	279	1540	479
1484	290	1596	492
1540	303	1652	507
1596	317	1708	524
1652	331	1764	539
1708	348	1820	557
1764	365	1876	574
1820	383	1932	592
1876	399	1988	609
1932	417	2044	626
1988	434	2100	642
2044	451	2156	658
2100	468	2212	673
2156	482	2268	686
2212	498	2324	698
2268	513	2380	709
2324	523	2436	717
2380	534	2492	724
2436	543	2548	730
2492	550	2604	733
2548	554	2660	734
2604	558	2716	735
2660	555	2772	735
2716	553	2828	735
2772	545	2884	731
2828	536	2940	727
2884	527	2996	720
2940	516	3052	712
2996	502	3108	702
3052	489	3164	691
3108	474	3220	678
3164	459	3276	664
3220	441	3332	648
3276	425	3388	633
3332	408	3444	615
3388	406	3500	599
308	609	420	815
364	592	476	803
420	576	532	785
476	561	588	768
532	545	644	752
588	531	700	737
644	520	756	722
700	509	812	708
756	499	868	697
812	494	924	685
868	488	980	676
924	483	1036	669
980	482	1092	665
1036	482	1148	660
1092	483	1204	661
1148	483	1260	666
1204	484	1316	673
1260	489	1372	680
1316	495	1428	690
1372	504	1484	701
1428	513	1540	714
1484	524	1596	728
1540	537	1652	743
1596	551	1708	759
1652	566	1764	775
1708	582	1820	793
1764	599	1876	810
1820	616	1932	828
1876	633	1988	842
1932	651	2044	862
1988	668	2100	878
2044	685	2156	893
2100	702	2212	909
2156	716	2268	922
2212	732	2324	934
2268	745	2380	945
2324	757	2436	953
2380	768	2492	961
2436	777	2548	966
2492	784	2604	969
2548	789	2660	970
2604	791	2716	971
2660	790	2772	971
2716	786	2828	969
2772	779	2884	967
2828	771	2940	963
2884	761	2996	957
2940	750	3052	948
2996	737	3108	938
3052	727	3164	927
3108	708	3220	914
3164	693	3276	900
3220	675	3332	884
3276	659	3388	869
3332	642	3444	851
3388	639	3500	835
308	847	420	1051
364	828	476	1040
420	811	532	1021
476	797	588	1004
532	781	644	989
588	771	700	961
644	755	756	958
700	745	812	945
756	735	868	933
812	728	924	923
868	724	980	912
924	719	1036	906
980	718	1092	901
1036	718	1148	897
1092	719	1204	897
1148	719	1260	902
1204	720	1316	909
1260	725	1372	917
1316	733	1428	926
1372	740	1484	937
1428	749	1540	951
1484	760	1596	964
1540	773	1652	979
1596	787	1708	996
1652	802	1764	1011
1708	818	1820	1029
1764	835	1876	1046
1820	852	1932	1065
1876	873	1988	1081
1932	887	2044	1098
1988	904	2100	1115
2044	922	2156	1130
2100	938	2212	1145
2156	953	2268	1159
2212	968	2324	1171
2268	981	2380	1181
2324	994	2436	1189
2380	1004	2492	1197
2436	1013	2548	1202
2492	1020	2604	1205
2548	1025	2660	1207
2604	1028	2716	1208
2660	1026	2772	1208
2716	1022	2828	1207
2772	1015	2884	1203
2828	1007	2940	1200
2884	997	2996	1193
2940	986	3052	1184
2996	972	3108	1175
3052	959	3164	1154
3108	944	3220	1150
3164	928	3276	1136
3220	911	3332	1121
3276	894	3388	1105
3332	877	3444	1087
3388	874	3500	1071
308	1081	420	1286
364	1064	476	1274
420	1047	532	1255
476	1033	588	1239
532	1017	644	1223
588	1003	700	1207
644	991	756	1192
700	981	812	1179
756	971	868	1167
812	965	924	1155
868	960	980	1147
924	955	1036	1140
980	954	1092	1135
1036	954	1148	1131
1092	954	1204	1132
1148	955	1260	1137
1204	956	1316	1143
1260	961	1372	1152
1316	968	1428	1161
1372	976	1484	1172
1428	985	1540	1185
1484	996	1596	1198
1540	1010	1652	1214
1596	1023	1708	1230
1652	1038	1764	1246
1708	1054	1820	1264
1764	1071	1876	1281
1820	1088	1932	1299
1876	1105	1988	1315
1932	1123	2044	1333
1988	1140	2100	1349
2044	1157	2156	1364
2100	1175	2212	1380
2156	1189	2268	1393
2212	1204	2324	1405
2268	1218	2380	1415
2324	1230	2436	1424
2380	1240	2492	1431
2436	1249	2548	1436
2492	1257	2604	1440
2548	1261	2660	1441
2604	1264	2716	1442
2660	1262	2772	1442
2716	1258	2828	1441
2772	1252	2884	1438
2828	1243	2940	1434
2884	1233	2996	1427
2940	1222	3052	1418
2996	1209	3108	1409
3052	1195	3164	1398
3108	1180	3220	1384
3164	1165	3276	1371
3220	1147	3332	1355
3276	1130	3388	1339
3332	1113	3444	1322
3388	1110	3500	1305
