-['x', 'y', 'a', 'b']
[328, 244, 466, 422]
[397, 244, 535, 422]
[466, 244, 604, 422]
[535, 245, 673, 423]
[604, 246, 742, 423]
[673, 247, 811, 423]
[742, 247, 880, 423]
[811, 247, 949, 423]
[880, 247, 1018, 423]
[949, 247, 1087, 423]
[1018, 246, 1156, 423]
[1087, 246, 1225, 422]
[1156, 246, 1294, 422]
[1225, 246, 1363, 422]
[1294, 246, 1432, 423]
[1363, 246, 1501, 423]
[1432, 247, 1570, 423]
[1501, 244, 1639, 422]
[1570, 244, 1708, 422]
[1639, 244, 1777, 420]
[1708, 244, 1846, 420]
[1777, 244, 1915, 424]
[1846, 244, 1984, 424]
[1915, 247, 2053, 424]
[1984, 247, 2122, 423]
[2053, 247, 2191, 423]
[2122, 247, 2260, 423]
[2191, 247, 2329, 423]
[2260, 247, 2398, 424]
[2329, 246, 2467, 424]
[2398, 246, 2536, 428]
[2467, 246, 2605, 428]
[2536, 249, 2674, 427]
[2605, 245, 2743, 425]
[2674, 245, 2812, 425]
[2743, 245, 2881, 422]
[2812, 246, 2950, 423]
[2881, 246, 3019, 424]
[2950, 248, 3088, 424]
[3019, 248, 3157, 424]
[3088, 248, 3226, 424]
[3157, 248, 3295, 424]
[3226, 248, 3364, 424]
[3295, 249, 3433, 424]
[3364, 248, 3502, 424]
[328, 481, 466, 658]
[397, 478, 535, 658]
[466, 478, 604, 659]
[535, 478, 673, 661]
[604, 482, 742, 661]
[673, 483, 811, 661]
[742, 484, 880, 661]
[811, 484, 949, 661]
[880, 482, 1018, 661]
[949, 481, 1087, 661]
[1018, 481, 1156, 658]
[1087, 481, 1225, 658]
[1156, 479, 1294, 658]
[1225, 479, 1363, 658]
[1294, 480, 1432, 661]
[1363, 481, 1501, 662]
[1432, 482, 1570, 662]
[1501, 482, 1639, 662]
[1570, 482, 1708, 659]
[1639, 482, 1777, 660]
[1708, 482, 1846, 660]
[1777, 481, 1915, 659]
[1846, 481, 1984, 659]
[1915, 480, 2053, 660]
[1984, 480, 2122, 660]
[2053, 480, 2191, 657]
[2122, 479, 2260, 657]
[2191, 479, 2329, 657]
[2260, 480, 2398, 658]
[2329, 480, 2467, 661]
[2398, 481, 2536, 661]
[2467, 481, 2605, 660]
[2536, 481, 2674, 658]
[2605, 481, 2743, 658]
[2674, 481, 2812, 658]
[2743, 481, 2881, 658]
[2812, 480, 2950, 658]
[2881, 480, 3019, 658]
[2950, 480, 3088, 658]
[3019, 481, 3157, 658]
[3088, 481, 3226, 658]
[3157, 481, 3295, 659]
[3226, 481, 3364, 659]
[3295, 481, 3433, 658]
[3364, 481, 3502, 658]
[328, 716, 466, 894]
[397, 714, 535, 894]
[466, 713, 604, 894]
[535, 713, 673, 891]
[604, 713, 742, 891]
[673, 713, 811, 891]
[742, 713, 880, 891]
[811, 714, 949, 893]
[880, 714, 1018, 894]
[949, 715, 1087, 895]
[1018, 716, 1156, 895]
[1087, 717, 1225, 895]
[1156, 717, 1294, 897]
[1225, 717, 1363, 897]
[1294, 718, 1432, 897]
[1363, 718, 1501, 896]
[1432, 718, 1570, 896]
[1501, 718, 1639, 896]
[1570, 718, 1708, 896]
[1639, 718, 1777, 896]
[1708, 718, 1846, 896]
[1777, 716, 1915, 896]
[1846, 716, 1984, 896]
[1915, 716, 2053, 897]
[1984, 718, 2122, 897]
[2053, 718, 2191, 896]
[2122, 718, 2260, 896]
[2191, 718, 2329, 896]
[2260, 715, 2398, 896]
[2329, 714, 2467, 895]
[2398, 714, 2536, 893]
[2467, 714, 2605, 893]
[2536, 714, 2674, 893]
[2605, 713, 2743, 892]
[2674, 713, 2812, 892]
[2743, 714, 2881, 892]
[2812, 714, 2950, 895]
[2881, 714, 3019, 896]
[2950, 717, 3088, 896]
[3019, 718, 3157, 896]
[3088, 717, 3226, 895]
[3157, 717, 3295, 896]
[3226, 717, 3364, 896]
[3295, 717, 3433, 896]
[3364, 717, 3502, 896]
[328, 951, 466, 1130]
[397, 951, 535, 1130]
[466, 952, 604, 1130]
[535, 952, 673, 1128]
[604, 952, 742, 1127]
[673, 952, 811, 1128]
[742, 952, 880, 1128]
[811, 952, 949, 1128]
[880, 952, 1018, 1129]
[949, 953, 1087, 1129]
[1018, 952, 1156, 1129]
[1087, 952, 1225, 1128]
[1156, 952, 1294, 1129]
[1225, 952, 1363, 1129]
[1294, 952, 1432, 1129]
[1363, 950, 1501, 1129]
[1432, 950, 1570, 1129]
[1501, 951, 1639, 1127]
[1570, 951, 1708, 1127]
[1639, 952, 1777, 1128]
[1708, 952, 1846, 1128]
[1777, 952, 1915, 1127]
[1846, 952, 1984, 1131]
[1915, 952, 2053, 1132]
[1984, 952, 2122, 1132]
[2053, 952, 2191, 1130]
[2122, 951, 2260, 1128]
[2191, 951, 2329, 1128]
[2260, 952, 2398, 1130]
[2329, 952, 2467, 1130]
[2398, 952, 2536, 1131]
[2467, 955, 2605, 1131]
[2536, 953, 2674, 1131]
