['x', 'y', 'a', 'b']
[339, 225, 494, 403]
[416, 225, 571, 403]
[493, 227, 648, 403]
[570, 227, 725, 403]
[647, 227, 802, 403]
[724, 227, 879, 403]
[801, 227, 956, 403]
[878, 222, 1033, 403]
[955, 222, 1110, 403]
[1032, 222, 1187, 398]
[1109, 222, 1264, 398]
[1186, 223, 1341, 401]
[1263, 223, 1418, 404]
[1340, 225, 1495, 404]
[1417, 225, 1572, 404]
[1494, 224, 1649, 401]
[1571, 224, 1726, 400]
[1648, 222, 1803, 400]
[1725, 222, 1880, 400]
[1802, 222, 1957, 400]
[1879, 222, 2034, 401]
[1956, 224, 2111, 401]
[2033, 225, 2188, 401]
[2110, 225, 2265, 401]
[2187, 224, 2342, 401]
[2264, 224, 2419, 401]
[2341, 224, 2496, 399]
[2418, 224, 2573, 399]
[2495, 224, 2650, 399]
[2572, 224, 2727, 400]
[2649, 224, 2804, 400]
[2726, 224, 2881, 400]
[2803, 224, 2958, 401]
[2880, 224, 3035, 401]
[2957, 225, 3112, 401]
[3034, 225, 3189, 401]
[3111, 225, 3266, 401]
[3188, 225, 3343, 401]
[3265, 226, 3420, 401]
[3342, 226, 3497, 402]
[339, 460, 494, 639]
[416, 460, 571, 639]
[493, 456, 648, 637]
[570, 456, 725, 637]
[647, 458, 802, 637]
[724, 458, 879, 637]
[801, 458, 956, 636]
[878, 458, 1033, 637]
[955, 458, 1110, 638]
[1032, 459, 1187, 638]
[1109, 459, 1264, 638]
[1186, 459, 1341, 637]
[1263, 460, 1418, 637]
[1340, 459, 1495, 637]
[1417, 459, 1572, 637]
[1494, 459, 1649, 637]
[1571, 459, 1726, 637]
[1648, 459, 1803, 636]
[1725, 459, 1880, 636]
[1802, 459, 1957, 636]
[1879, 459, 2034, 636]
[1956, 456, 2111, 636]
[2033, 456, 2188, 636]
[2110, 456, 2265, 633]
[2187, 456, 2342, 638]
[2264, 457, 2419, 638]
[2341, 460, 2496, 637]
[2418, 460, 2573, 637]
[2495, 460, 2650, 637]
[2572, 460, 2727, 637]
[2649, 460, 2804, 637]
[2726, 460, 2881, 637]
[2803, 459, 2958, 637]
[2880, 459, 3035, 637]
[2957, 459, 3112, 637]
[3034, 459, 3189, 637]
[3111, 459, 3266, 637]
[3188, 459, 3343, 636]
[3265, 459, 3420, 637]
[3342, 459, 3497, 637]
[339, 695, 494, 873]
[416, 695, 571, 873]
[493, 695, 648, 874]
[570, 696, 725, 874]
[647, 695, 802, 874]
[724, 695, 879, 874]
[801, 695, 956, 873]
[878, 694, 1033, 873]
[955, 694, 1110, 875]
[1032, 694, 1187, 875]
[1109, 695, 1264, 873]
[1186, 694, 1341, 873]
[1263, 694, 1418, 873]
