['x', 'y', 'a', 'b']
[200, 192, 553, 424]
[376, 192, 729, 424]
[552, 192, 905, 424]
[728, 192, 1081, 424]
[904, 192, 1257, 424]
[1080, 192, 1433, 424]
[1256, 192, 1609, 424]
[1432, 192, 1785, 424]
[1608, 192, 1961, 424]
[1784, 192, 2137, 424]
[1960, 192, 2313, 424]
[2136, 192, 2489, 424]
[2312, 192, 2665, 424]
[2488, 192, 2841, 424]
[2664, 192, 3017, 424]
[2840, 192, 3193, 424]
[3016, 192, 3369, 424]
[3192, 192, 3545, 424]
[200, 424, 553, 656]
[376, 424, 729, 656]
[552, 424, 905, 656]
[728, 424, 1081, 656]
[904, 424, 1257, 656]
[1080, 424, 1433, 656]
[1256, 424, 1609, 656]
[1432, 424, 1785, 656]
[1608, 424, 1961, 656]
[1784, 424, 2137, 656]
[1960, 424, 2313, 656]
[2136, 424, 2489, 656]
[2312, 424, 2665, 656]
[2488, 424, 2841, 656]
[2664, 424, 3017, 656]
[2840, 424, 3193, 656]
[3016, 424, 3369, 656]
[3192, 424, 3545, 656]
[200, 656, 553, 888]
[376, 656, 729, 888]
[552, 656, 905, 888]
[728, 656, 1081, 888]
[904, 656, 1257, 888]
[1080, 656, 1433, 888]
[1256, 656, 1609, 888]
[1432, 656, 1785, 888]
[1608, 656, 1961, 888]
[1784, 656, 2137, 888]
[1960, 656, 2313, 888]
[2136, 656, 2489, 888]
[2312, 656, 2665, 888]
[2488, 656, 2841, 888]
[2664, 656, 3017, 888]
[2840, 656, 3193, 888]
[3016, 656, 3369, 888]
[3192, 656, 3545, 888]
[200, 888, 553, 1120]
[376, 888, 729, 1120]
[552, 888, 905, 1120]
[728, 888, 1081, 1120]
[904, 888, 1257, 1120]
[1080, 888, 1433, 1120]
[1256, 888, 1609, 1120]
[1432, 888, 1785, 1120]
[1608, 888, 1961, 1120]
[1784, 888, 2137, 1120]
[1960, 888, 2313, 1120]
[2136, 888, 2489, 1120]
[2312, 888, 2665, 1120]
[2488, 888, 2841, 1120]
[2664, 888, 3017, 1120]
[2840, 888, 3193, 1120]
[3016, 888, 3369, 1120]
[3192, 888, 3545, 1120]
