['x', 'y', 'a', 'b']
[658, 233, 1146.0, 385]
[1146.0, 233, 1634, 385]
[1146, 234, 1634.0, 386]
[1634.0, 234, 2122, 386]
[1634, 235, 2122.0, 387]
[2122.0, 235, 2610, 387]
[2122, 237, 2610.0, 389]
[2610.0, 237, 3098, 389]
[2610, 238, 3098.0, 392]
[3098.0, 238, 3586, 392]
[658, 467, 1146.0, 620]
[1146.0, 467, 1634, 620]
[1146, 468, 1634.0, 622]
[1634.0, 468, 2122, 622]
[1634, 469, 2122.0, 623]
[2122.0, 469, 2610, 623]
[2122, 471, 2610.0, 625]
[2610.0, 471, 3098, 625]
[2610, 472, 3098.0, 627]
[3098.0, 472, 3586, 627]
[658, 703, 1146.0, 857]
[1146.0, 703, 1634, 857]
[1146, 704, 1634.0, 860]
[1634.0, 704, 2122, 860]
[1634, 705, 2122.0, 860]
[2122.0, 705, 2610, 860]
[2122, 708, 2610.0, 861]
[2610.0, 708, 3098, 861]
[2610, 709, 3098.0, 863]
[3098.0, 709, 3586, 863]
[658, 939, 1146.0, 1091]
[1146.0, 939, 1634, 1091]
[1146, 941, 1634.0, 1093]
[1634.0, 941, 2122, 1093]
[1634, 942, 2122.0, 1094]
[2122.0, 942, 2610, 1094]
[2122, 943, 2610.0, 1096]
[2610.0, 943, 3098, 1096]
[2610, 945, 3098.0, 1097]
[3098.0, 945, 3586, 1097]
[658, 1172, 1146.0, 1325]
[1146.0, 1172, 1634, 1325]
[1146, 1173, 1634.0, 1327]
[1634.0, 1173, 2122, 1327]
[1634, 1175, 2122.0, 1329]
[2122.0, 1175, 2610, 1329]
[2122, 1176, 2610.0, 1331]
[2610.0, 1176, 3098, 1331]
[2610, 1178, 3098.0, 1332]
[3098.0, 1178, 3586, 1332]
[658, 1406, 1146.0, 1560]
[1146.0, 1406, 1634, 1560]
[1146, 1408, 1634.0, 1562]
[1634.0, 1408, 2122, 1562]
[1634, 1410, 2122.0, 1564]
[2122.0, 1410, 2610, 1564]
[2122, 1411, 2610.0, 1565]
[2610.0, 1411, 3098, 1565]
[2610, 1413, 3098.0, 1567]
[3098.0, 1413, 3586, 1567]
[658, 1641, 1146.0, 1795]
[1146.0, 1641, 1634, 1795]
[1146, 1643, 1634.0, 1796]
[1634.0, 1643, 2122, 1796]
[1634, 1645, 2122.0, 1798]
[2122.0, 1645, 2610, 1798]
[2122, 1646, 2610.0, 1800]
[2610.0, 1646, 3098, 1800]
[2610, 1648, 3098.0, 1801]
[3098.0, 1648, 3586, 1801]
