['x1', 'y1', 'x2', 'y2']
[423, 232, 703, 408]
[563, 232, 843, 408]
[703, 231, 983, 408]
[843, 231, 1123, 408]
[983, 230, 1263, 407]
[1123, 230, 1403, 406]
[1263, 230, 1543, 406]
[1403, 229, 1683, 405]
[1543, 229, 1823, 407]
[1683, 229, 1963, 407]
[1823, 228, 2103, 404]
[1963, 228, 2243, 404]
[2103, 227, 2383, 404]
[2243, 227, 2523, 403]
[2383, 227, 2663, 403]
[2523, 227, 2803, 402]
[2663, 226, 2943, 402]
[2803, 226, 3083, 402]
[2943, 226, 3223, 401]
[3083, 222, 3363, 401]
[3223, 222, 3503, 401]
[3363, 226, 3643, 403]
[423, 465, 703, 643]
[563, 465, 843, 643]
[703, 465, 983, 642]
[843, 465, 1123, 642]
[983, 464, 1263, 643]
[1123, 464, 1403, 643]
[1263, 464, 1543, 641]
[1403, 463, 1683, 641]
[1543, 463, 1823, 640]
[1683, 463, 1963, 640]
[1823, 462, 2103, 640]
[1963, 462, 2243, 639]
[2103, 461, 2383, 639]
[2243, 461, 2523, 639]
[2383, 461, 2663, 639]
[2523, 460, 2803, 639]
[2663, 460, 2943, 638]
[2803, 460, 3083, 637]
[2943, 460, 3223, 637]
[3083, 460, 3363, 637]
[3223, 459, 3503, 637]
[3363, 459, 3643, 638]
[423, 701, 703, 879]
[563, 701, 843, 879]
[703, 701, 983, 879]
[843, 700, 1123, 879]
[983, 700, 1263, 878]
[1123, 700, 1403, 878]
[1263, 699, 1543, 877]
[1403, 699, 1683, 877]
[1543, 699, 1823, 877]
[1683, 698, 1963, 876]
[1823, 698, 2103, 876]
[1963, 697, 2243, 877]
[2103, 697, 2383, 877]
[2243, 697, 2523, 875]
[2383, 696, 2663, 874]
[2523, 696, 2803, 874]
[2663, 696, 2943, 874]
[2803, 696, 3083, 874]
[2943, 695, 3223, 873]
[3083, 695, 3363, 873]
[3223, 695, 3503, 873]
[3363, 695, 3643, 873]
[423, 937, 703, 1113]
[563, 937, 843, 1113]
[703, 937, 983, 1113]
[843, 936, 1123, 1112]
[983, 936, 1263, 1112]
[1123, 936, 1403, 1112]
[1263, 935, 1543, 1112]
[1403, 935, 1683, 1112]
[1543, 934, 1823, 1112]
[1683, 934, 1963, 1111]
[1823, 934, 2103, 1110]
[1963, 934, 2243, 1110]
[2103, 933, 2383, 1109]
[2243, 933, 2523, 1109]
[2383, 933, 2663, 1109]
[2523, 932, 2803, 1108]
[2663, 932, 2943, 1108]
[2803, 932, 3083, 1108]
[2943, 932, 3223, 1107]
[3083, 931, 3363, 1107]
[3223, 931, 3503, 1107]
[3363, 931, 3643, 1107]
[423, 1170, 703, 1347]
[563, 1171, 843, 1347]
[703, 1170, 983, 1347]
[843, 1170, 1123, 1347]
[983, 1170, 1263, 1346]
[1123, 1169, 1403, 1347]
[1263, 1169, 1543, 1347]
[1403, 1169, 1683, 1346]
[1543, 1168, 1823, 1345]
[1683, 1168, 1963, 1345]
[1823, 1168, 2103, 1345]
[1963, 1167, 2243, 1344]
[2103, 1167, 2383, 1344]
[2243, 1167, 2523, 1344]
[2383, 1166, 2663, 1343]
[2523, 1166, 2803, 1343]
[2663, 1166, 2943, 1343]
[2803, 1165, 3083, 1342]
[2943, 1165, 3223, 1342]
[3083, 1165, 3363, 1342]
[3223, 1165, 3503, 1342]
[3363, 1165, 3643, 1341]
