['x1', 'y2', 'w', 'h']
[467, 229, 306, 177]
[619, 229, 306, 177]
[771, 230, 306, 176]
[923, 230, 306, 176]
[1075, 230, 306, 177]
[1227, 230, 306, 177]
[1379, 230, 306, 178]
[1531, 230, 306, 178]
[1683, 230, 306, 177]
[1835, 231, 306, 177]
[1987, 230, 306, 178]
[2139, 230, 306, 178]
[2291, 231, 306, 177]
[2443, 232, 306, 177]
[2595, 232, 306, 178]
[2747, 232, 306, 178]
[2899, 232, 306, 177]
[3051, 233, 306, 177]
[3203, 233, 306, 177]
[3355, 233, 306, 179]
[467, 463, 306, 178]
[619, 463, 306, 178]
[771, 463, 306, 179]
[923, 463, 306, 179]
[1075, 464, 306, 178]
[1227, 464, 306, 178]
[1379, 464, 306, 179]
[1531, 464, 306, 179]
[1683, 465, 306, 178]
[1835, 465, 306, 178]
[1987, 465, 306, 178]
[2139, 465, 306, 179]
[2291, 465, 306, 179]
[2443, 466, 306, 180]
[2595, 466, 306, 180]
[2747, 466, 306, 179]
[2899, 466, 306, 179]
[3051, 466, 306, 179]
[3203, 467, 306, 179]
[3355, 467, 306, 180]
[467, 698, 306, 179]
[619, 699, 306, 179]
[771, 699, 306, 179]
[923, 699, 306, 179]
[1075, 700, 306, 178]
[1227, 700, 306, 179]
[1379, 700, 306, 179]
[1531, 700, 306, 179]
[1683, 700, 306, 179]
[1835, 701, 306, 178]
[1987, 701, 306, 179]
[2139, 701, 306, 179]
[2291, 701, 306, 179]
[2443, 701, 306, 179]
[2595, 702, 306, 179]
[2747, 702, 306, 179]
[2899, 702, 306, 179]
[3051, 702, 306, 180]
[3203, 703, 306, 179]
[3355, 703, 306, 180]
[467, 934, 306, 177]
[619, 935, 306, 177]
[771, 935, 306, 177]
[923, 935, 306, 177]
[1075, 936, 306, 177]
[1227, 936, 306, 177]
[1379, 936, 306, 177]
[1531, 936, 306, 177]
[1683, 937, 306, 177]
[1835, 937, 306, 177]
[1987, 937, 306, 177]
[2139, 937, 306, 177]
[2291, 937, 306, 178]
[2443, 938, 306, 178]
[2595, 938, 306, 178]
[2747, 938, 306, 177]
[2899, 938, 306, 178]
[3051, 939, 306, 177]
[3203, 939, 306, 178]
[3355, 940, 306, 177]
[467, 1168, 306, 178]
[619, 1168, 306, 178]
[771, 1169, 306, 177]
[923, 1169, 306, 178]
[1075, 1169, 306, 178]
[1227, 1169, 306, 178]
[1379, 1170, 306, 178]
[1531, 1170, 306, 178]
[1683, 1170, 306, 178]
[1835, 1171, 306, 177]
[1987, 1171, 306, 179]
[2139, 1171, 306, 179]
[2291, 1171, 306, 178]
[2443, 1171, 306, 178]
[2595, 1172, 306, 178]
[2747, 1172, 306, 178]
[2899, 1172, 306, 178]
[3051, 1173, 306, 178]
[3203, 1173, 306, 178]
[3355, 1173, 306, 179]
[467, 1402, 306, 178]
[619, 1403, 306, 178]
[771, 1403, 306, 178]
[923, 1403, 306, 178]
[1075, 1404, 306, 178]
[1227, 1404, 306, 178]
[1379, 1404, 306, 178]
[1531, 1405, 306, 178]
[1683, 1405, 306, 178]
[1835, 1405, 306, 178]
[1987, 1405, 306, 178]
[2139, 1406, 306, 178]
[2291, 1406, 306, 178]
[2443, 1406, 306, 178]
[2595, 1406, 306, 179]
[2747, 1407, 306, 178]
[2899, 1407, 306, 178]
[3051, 1407, 306, 179]
[3203, 1408, 306, 178]
[3355, 1408, 306, 178]
