['x', 'y', 'a', 'b']
[225, 275, 495, 452]
[360, 275, 630, 448]
[495, 275, 765, 448]
[630, 276, 900, 450]
[765, 278, 1035, 452]
[900, 280, 1170, 452]
[1035, 278, 1305, 452]
[1170, 278, 1440, 450]
[1305, 278, 1575, 450]
[1440, 278, 1710, 450]
[1575, 280, 1845, 452]
[1710, 282, 1980, 453]
[1845, 285, 2115, 455]
[1980, 285, 2250, 457]
[2115, 283, 2385, 457]
[2250, 283, 2520, 455]
[2385, 283, 2655, 455]
[2520, 283, 2790, 453]
[2655, 285, 2925, 453]
[2790, 287, 3060, 457]
[2925, 291, 3195, 459]
[3060, 292, 3330, 460]
[3195, 296, 3465, 462]
[3330, 299, 3600, 462]
[225, 502, 495, 675]
[360, 502, 630, 675]
[495, 502, 765, 675]
[630, 502, 900, 675]
[765, 504, 1035, 675]
[900, 504, 1170, 675]
[1035, 502, 1305, 675]
[1170, 502, 1440, 675]
[1305, 500, 1575, 674]
[1440, 500, 1710, 674]
[1575, 500, 1845, 672]
[1710, 500, 1980, 674]
[1845, 502, 2115, 674]
[1980, 504, 2250, 674]
[2115, 505, 2385, 675]
[2250, 505, 2520, 675]
[2385, 504, 2655, 675]
[2520, 504, 2790, 675]
[2655, 504, 2925, 674]
[2790, 502, 3060, 674]
[2925, 502, 3195, 672]
[3060, 504, 3330, 672]
[3195, 505, 3465, 674]
[3330, 507, 3600, 674]
[225, 729, 495, 904]
[360, 727, 630, 903]
[495, 727, 765, 903]
[630, 727, 900, 903]
[765, 727, 1035, 901]
[900, 726, 1170, 901]
[1035, 726, 1305, 899]
[1170, 726, 1440, 899]
[1305, 726, 1575, 899]
[1440, 724, 1710, 897]
[1575, 724, 1845, 897]
[1710, 724, 1980, 895]
[1845, 724, 2115, 895]
[1980, 724, 2250, 895]
[2115, 724, 2385, 894]
[2250, 724, 2520, 894]
[2385, 722, 2655, 892]
[2520, 722, 2790, 892]
[2655, 722, 2925, 890]
[2790, 722, 3060, 890]
[2925, 720, 3195, 890]
[3060, 720, 3330, 888]
[3195, 720, 3465, 888]
[3330, 720, 3600, 887]
[225, 958, 495, 1130]
[360, 956, 630, 1130]
[495, 954, 765, 1128]
[630, 953, 900, 1126]
[765, 953, 1035, 1124]
[900, 953, 1170, 1124]
[1035, 951, 1305, 1123]
[1170, 949, 1440, 1121]
[1305, 949, 1575, 1119]
[1440, 947, 1710, 1119]
[1575, 946, 1845, 1117]
[1710, 946, 1980, 1116]
[1845, 944, 2115, 1114]
[1980, 942, 2250, 1112]
[2115, 942, 2385, 1112]
[2250, 940, 2520, 1110]
[2385, 940, 2655, 1109]
[2520, 939, 2790, 1107]
[2655, 939, 2925, 1105]
[2790, 937, 3060, 1105]
[2925, 937, 3195, 1103]
[3060, 935, 3330, 1103]
[3195, 935, 3465, 1102]
[3330, 935, 3600, 1102]
[225, 1180, 495, 1357]
[360, 1180, 630, 1357]
[495, 1178, 765, 1355]
[630, 1176, 900, 1352]
[765, 1175, 1035, 1350]
[900, 1173, 1170, 1348]
[1035, 1173, 1305, 1346]
[1170, 1171, 1440, 1343]
[1305, 1169, 1575, 1341]
[1440, 1168, 1710, 1339]
[1575, 1166, 1845, 1338]
[1710, 1164, 1980, 1336]
[1845, 1162, 2115, 1334]
[1980, 1161, 2250, 1332]
[2115, 1159, 2385, 1331]
[2250, 1157, 2520, 1329]
[2385, 1155, 2655, 1327]
[2520, 1154, 2790, 1325]
[2655, 1152, 2925, 1323]
[2790, 1152, 3060, 1322]
[2925, 1150, 3195, 1322]
[3060, 1150, 3330, 1320]
[3195, 1148, 3465, 1318]
[3330, 1148, 3600, 1316]
[225, 1411, 495, 1586]
[360, 1411, 630, 1584]
[495, 1407, 765, 1584]
[630, 1405, 900, 1582]
[765, 1402, 1035, 1581]
[900, 1400, 1170, 1579]
[1035, 1398, 1305, 1577]
[1170, 1397, 1440, 1574]
[1305, 1395, 1575, 1572]
[1440, 1393, 1710, 1568]
[1575, 1390, 1845, 1567]
[1710, 1388, 1980, 1563]
[1845, 1386, 2115, 1561]
[1980, 1384, 2250, 1559]
[2115, 1382, 2385, 1558]
[2250, 1381, 2520, 1554]
[2385, 1377, 2655, 1552]
[2520, 1375, 2790, 1551]
[2655, 1374, 2925, 1547]
[2790, 1370, 3060, 1544]
[2925, 1367, 3195, 1540]
[3060, 1365, 3330, 1537]
[3195, 1363, 3465, 1533]
[3330, 1363, 3600, 1531]
