['x', 'y', 'a', 'b']
[155, 252, 377, 404]
[266, 252, 488, 401]
[377, 252, 599, 401]
[488, 252, 710, 403]
[599, 254, 821, 406]
[710, 256, 932, 408]
[821, 257, 1043, 408]
[932, 259, 1154, 409]
[1043, 259, 1265, 409]
[1154, 259, 1376, 409]
[1265, 259, 1487, 409]
[1376, 261, 1598, 411]
[1487, 262, 1709, 413]
[1598, 264, 1820, 416]
[1709, 267, 1931, 418]
[1820, 269, 2042, 419]
[1931, 271, 2153, 421]
[2042, 271, 2264, 421]
[2153, 271, 2375, 421]
[2264, 272, 2486, 421]
[2375, 272, 2597, 419]
[2486, 274, 2708, 421]
[2597, 276, 2819, 423]
[2708, 279, 2930, 426]
[2819, 281, 3041, 429]
[2930, 286, 3152, 431]
[3041, 288, 3263, 433]
[3152, 289, 3374, 436]
[3263, 293, 3485, 436]
[155, 483, 377, 637]
[266, 483, 488, 637]
[377, 483, 599, 637]
[488, 483, 710, 637]
[599, 487, 821, 638]
[710, 487, 932, 638]
[821, 488, 1043, 640]
[932, 490, 1154, 640]
[1043, 490, 1265, 640]
[1154, 490, 1376, 640]
[1265, 490, 1487, 640]
[1376, 490, 1598, 640]
[1487, 490, 1709, 642]
[1598, 492, 1820, 642]
[1709, 493, 1931, 643]
[1820, 495, 2042, 645]
[1931, 497, 2153, 645]
[2042, 498, 2264, 647]
[2153, 500, 2375, 648]
[2264, 502, 2486, 650]
[2375, 502, 2597, 650]
[2486, 502, 2708, 650]
[2597, 502, 2819, 650]
[2708, 502, 2930, 650]
[2819, 502, 3041, 650]
[2930, 503, 3152, 652]
[3041, 505, 3263, 652]
[3152, 507, 3374, 654]
[3263, 508, 3485, 654]
[155, 719, 377, 871]
[266, 719, 488, 871]
[377, 719, 599, 871]
[488, 719, 710, 871]
[599, 719, 821, 873]
[710, 721, 932, 873]
[821, 721, 1043, 873]
[932, 721, 1154, 873]
[1043, 723, 1265, 873]
[1154, 723, 1376, 873]
[1265, 723, 1487, 873]
[1376, 723, 1598, 873]
[1487, 723, 1709, 873]
[1598, 723, 1820, 873]
[1709, 723, 1931, 873]
[1820, 724, 2042, 873]
[1931, 724, 2153, 874]
[2042, 724, 2264, 874]
[2153, 726, 2375, 874]
[2264, 726, 2486, 874]
[2375, 726, 2597, 874]
[2486, 728, 2708, 874]
[2597, 729, 2819, 874]
[2708, 729, 2930, 874]
[2819, 729, 3041, 874]
[2930, 729, 3152, 874]
[3041, 729, 3263, 874]
[3152, 729, 3374, 876]
[3263, 729, 3485, 876]
[155, 954, 377, 1105]
[266, 954, 488, 1105]
[377, 955, 599, 1104]
[488, 955, 710, 1104]
[599, 954, 821, 1102]
[710, 954, 932, 1102]
[821, 954, 1043, 1102]
[932, 954, 1154, 1102]
[1043, 954, 1265, 1102]
[1154, 954, 1376, 1100]
[1265, 954, 1487, 1100]
[1376, 954, 1598, 1100]
[1487, 954, 1709, 1100]
[1598, 952, 1820, 1100]
[1709, 952, 1931, 1099]
[1820, 952, 2042, 1099]
[1931, 952, 2153, 1099]
[2042, 952, 2264, 1099]
[2153, 952, 2375, 1099]
[2264, 952, 2486, 1099]
[2375, 952, 2597, 1099]
[2486, 952, 2708, 1097]
[2597, 952, 2819, 1097]
[2708, 952, 2930, 1097]
[2819, 952, 3041, 1097]
[2930, 952, 3152, 1097]
[3041, 954, 3263, 1097]
[3152, 954, 3374, 1097]
[3263, 954, 3485, 1097]
[155, 1186, 377, 1340]
[266, 1186, 488, 1340]
[377, 1186, 599, 1340]
[488, 1186, 710, 1338]
[599, 1184, 821, 1336]
[710, 1184, 932, 1335]
[821, 1184, 1043, 1333]
[932, 1184, 1154, 1333]
[1043, 1183, 1265, 1331]
[1154, 1183, 1376, 1331]
[1265, 1181, 1487, 1330]
[1376, 1181, 1598, 1330]
[1487, 1181, 1709, 1330]
[1598, 1181, 1820, 1328]
[1709, 1179, 1931, 1326]
[1820, 1179, 2042, 1326]
[1931, 1178, 2153, 1325]
[2042, 1178, 2264, 1325]
[2153, 1176, 2375, 1325]
[2264, 1176, 2486, 1325]
[2375, 1176, 2597, 1323]
[2486, 1174, 2708, 1323]
[2597, 1174, 2819, 1321]
[2708, 1174, 2930, 1321]
[2819, 1174, 3041, 1321]
[2930, 1174, 3152, 1321]
[3041, 1174, 3263, 1321]
[3152, 1173, 3374, 1320]
[3263, 1173, 3485, 1320]
[155, 1420, 377, 1574]
[266, 1422, 488, 1576]
[377, 1422, 599, 1576]
[488, 1422, 710, 1576]
[599, 1420, 821, 1576]
[710, 1419, 932, 1574]
[821, 1417, 1043, 1572]
[932, 1417, 1154, 1572]
[1043, 1415, 1265, 1571]
[1154, 1415, 1376, 1569]
[1265, 1414, 1487, 1569]
[1376, 1414, 1598, 1567]
[1487, 1412, 1709, 1566]
[1598, 1412, 1820, 1564]
[1709, 1410, 1931, 1564]
[1820, 1409, 2042, 1562]
[1931, 1409, 2153, 1560]
[2042, 1409, 2264, 1559]
[2153, 1409, 2375, 1559]
[2264, 1407, 2486, 1557]
[2375, 1405, 2597, 1555]
[2486, 1405, 2708, 1555]
[2597, 1404, 2819, 1554]
[2708, 1402, 2930, 1552]
[2819, 1400, 3041, 1549]
[2930, 1399, 3152, 1547]
[3041, 1397, 3263, 1545]
[3152, 1397, 3374, 1544]
[3263, 1395, 3485, 1542]
