['x', 'y', 'a', 'b']
[789, 223, 1083, 397]
[936, 221, 1230, 397]
[1083, 221, 1377, 397]
[1230, 221, 1524, 397]
[1377, 220, 1671, 397]
[1524, 220, 1818, 397]
[1671, 218, 1965, 396]
[1818, 214, 2112, 394]
[1965, 213, 2259, 392]
[2112, 211, 2406, 392]
[2259, 209, 2553, 389]
[2406, 209, 2700, 387]
[2553, 209, 2847, 389]
[2700, 211, 2994, 394]
[2847, 214, 3141, 401]
[2994, 220, 3288, 411]
[3141, 228, 3435, 427]
[3288, 242, 3582, 427]
[789, 454, 1083, 630]
[936, 454, 1230, 630]
[1083, 454, 1377, 630]
[1230, 454, 1524, 628]
[1377, 452, 1671, 628]
[1524, 452, 1818, 628]
[1671, 448, 1965, 626]
[1818, 447, 2112, 626]
[1965, 445, 2259, 624]
[2112, 445, 2406, 623]
[2259, 443, 2553, 623]
[2406, 443, 2700, 623]
[2553, 443, 2847, 624]
[2700, 445, 2994, 626]
[2847, 447, 3141, 631]
[2994, 450, 3288, 638]
[3141, 457, 3435, 647]
[3288, 466, 3582, 647]
[789, 684, 1083, 858]
[936, 684, 1230, 858]
[1083, 682, 1377, 858]
[1230, 682, 1524, 858]
[1377, 682, 1671, 858]
[1524, 682, 1818, 858]
[1671, 681, 1965, 858]
[1818, 681, 2112, 858]
[1965, 681, 2259, 858]
[2112, 681, 2406, 858]
[2259, 681, 2553, 858]
[2406, 681, 2700, 860]
[2553, 681, 2847, 860]
[2700, 681, 2994, 862]
[2847, 682, 3141, 862]
[2994, 684, 3288, 865]
[3141, 688, 3435, 867]
[3288, 693, 3582, 867]
[789, 911, 1083, 1086]
[936, 911, 1230, 1086]
[1083, 913, 1377, 1087]
[1230, 913, 1524, 1087]
[1377, 913, 1671, 1089]
[1524, 915, 1818, 1091]
[1671, 915, 1965, 1091]
[1818, 917, 2112, 1091]
[1965, 917, 2259, 1093]
[2112, 917, 2406, 1094]
[2259, 917, 2553, 1094]
[2406, 918, 2700, 1096]
[2553, 918, 2847, 1096]
[2700, 918, 2994, 1094]
[2847, 918, 3141, 1094]
[2994, 918, 3288, 1094]
[3141, 918, 3435, 1093]
[3288, 918, 3582, 1089]
[789, 1137, 1083, 1315]
[936, 1139, 1230, 1316]
[1083, 1140, 1377, 1318]
[1230, 1140, 1524, 1321]
[1377, 1144, 1671, 1323]
[1524, 1144, 1818, 1323]
[1671, 1147, 1965, 1327]
[1818, 1147, 2112, 1328]
[1965, 1149, 2259, 1328]
[2112, 1151, 2406, 1332]
[2259, 1152, 2553, 1332]
[2406, 1152, 2700, 1332]
[2553, 1152, 2847, 1332]
[2700, 1151, 2994, 1332]
[2847, 1147, 3141, 1330]
[2994, 1142, 3288, 1327]
[3141, 1137, 3435, 1323]
[3288, 1137, 3582, 1315]
[789, 1371, 1083, 1552]
[936, 1373, 1230, 1552]
[1083, 1373, 1377, 1555]
[1230, 1374, 1524, 1557]
[1377, 1374, 1671, 1559]
[1524, 1378, 1818, 1559]
[1671, 1379, 1965, 1561]
[1818, 1381, 2112, 1564]
[1965, 1383, 2259, 1566]
[2112, 1386, 2406, 1568]
[2259, 1388, 2553, 1569]
[2406, 1390, 2700, 1569]
[2553, 1388, 2847, 1569]
[2700, 1385, 2994, 1568]
[2847, 1378, 3141, 1564]
[2994, 1367, 3288, 1561]
[3141, 1355, 3435, 1552]
[3288, 1355, 3582, 1538]
