['x', 'y', 'a', 'b']
[192, 264, 269, 429]
[230, 264, 307, 430]
[268, 264, 345, 430]
[306, 264, 383, 430]
[344, 264, 421, 430]
[382, 264, 459, 430]
[420, 264, 497, 430]
[458, 264, 535, 430]
[496, 264, 573, 430]
[534, 264, 611, 430]
[572, 264, 649, 430]
[610, 264, 687, 430]
[648, 264, 725, 430]
[686, 264, 763, 431]
[724, 264, 801, 431]
[762, 264, 839, 431]
[800, 264, 877, 431]
[838, 264, 915, 431]
[876, 265, 953, 431]
[914, 265, 991, 431]
[952, 265, 1029, 431]
[990, 265, 1067, 431]
[1028, 265, 1105, 431]
[1066, 265, 1143, 431]
[1104, 265, 1181, 431]
[1142, 265, 1219, 431]
[1180, 265, 1257, 431]
[1218, 265, 1295, 431]
[1256, 265, 1333, 431]
[1294, 265, 1371, 431]
[1332, 265, 1409, 431]
[1370, 265, 1447, 431]
[1408, 265, 1485, 431]
[1446, 265, 1523, 431]
[1484, 265, 1561, 431]
[1522, 265, 1599, 431]
[1560, 265, 1637, 431]
[1598, 265, 1675, 431]
[1636, 265, 1713, 431]
[1674, 265, 1751, 431]
[1712, 265, 1789, 431]
[1750, 265, 1827, 431]
[1788, 265, 1865, 431]
[1826, 265, 1903, 431]
[1864, 265, 1941, 433]
[1902, 265, 1979, 433]
[1940, 265, 2017, 433]
[1978, 265, 2055, 433]
[2016, 265, 2093, 433]
[2054, 265, 2131, 433]
[2092, 265, 2169, 431]
[2130, 265, 2207, 433]
[2168, 265, 2245, 433]
[2206, 265, 2283, 433]
[2244, 265, 2321, 433]
[2282, 267, 2359, 433]
[2320, 267, 2397, 433]
[2358, 265, 2435, 434]
[2396, 265, 2473, 434]
[2434, 267, 2511, 434]
[2472, 267, 2549, 434]
[2510, 267, 2587, 434]
[2548, 268, 2625, 435]
[2586, 268, 2663, 435]
[2624, 268, 2701, 435]
[2662, 268, 2739, 435]
[2700, 268, 2777, 436]
[2738, 269, 2815, 436]
[2776, 269, 2853, 438]
[2814, 269, 2891, 438]
[2852, 270, 2929, 438]
[2890, 270, 2967, 439]
[2928, 272, 3005, 439]
[2966, 273, 3043, 440]
[3004, 273, 3081, 440]
[3042, 274, 3119, 441]
[3080, 276, 3157, 441]
[3118, 277, 3195, 443]
[3156, 278, 3233, 444]
[3194, 279, 3271, 445]
[3232, 281, 3309, 446]
[3270, 283, 3347, 449]
[3308, 284, 3385, 450]
[3346, 287, 3423, 454]
[3384, 289, 3461, 454]
[3422, 293, 3499, 454]
[192, 478, 269, 644]
[230, 478, 307, 644]
[268, 478, 345, 644]
[306, 478, 383, 644]
[344, 477, 421, 644]
[382, 477, 459, 645]
[420, 478, 497, 645]
[458, 478, 535, 645]
[496, 478, 573, 645]
[534, 478, 611, 645]
[572, 478, 649, 645]
[610, 478, 687, 645]
[648, 479, 725, 645]
[686, 479, 763, 645]
[724, 478, 801, 645]
[762, 478, 839, 645]
[800, 478, 877, 646]
[838, 479, 915, 646]
[876, 479, 953, 646]
[914, 479, 991, 646]
[952, 479, 1029, 646]
[990, 479, 1067, 648]
[1028, 480, 1105, 648]
[1066, 480, 1143, 648]
[1104, 480, 1181, 648]
[1142, 480, 1219, 648]
[1180, 480, 1257, 649]
[1218, 480, 1295, 649]
[1256, 480, 1333, 649]
[1294, 480, 1371, 649]
[1332, 480, 1409, 649]
[1370, 480, 1447, 649]
[1408, 480, 1485, 648]
[1446, 480, 1523, 648]
[1484, 480, 1561, 649]
[1522, 480, 1599, 649]
[1560, 482, 1637, 649]
[1598, 482, 1675, 649]
[1636, 480, 1713, 649]
[1674, 480, 1751, 649]
[1712, 480, 1789, 650]
[1750, 482, 1827, 650]
[1788, 482, 1865, 650]
[1826, 482, 1903, 650]
[1864, 482, 1941, 650]
[1902, 482, 1979, 650]
[1940, 482, 2017, 650]
[1978, 482, 2055, 650]
[2016, 482, 2093, 650]
[2054, 482, 2131, 650]
[2092, 482, 2169, 650]
[2130, 482, 2207, 650]
[2168, 482, 2245, 651]
[2206, 482, 2283, 651]
[2244, 483, 2321, 651]
[2282, 483, 2359, 651]
[2320, 483, 2397, 651]
[2358, 483, 2435, 653]
[2396, 483, 2473, 653]
[2434, 483, 2511, 653]
[2472, 483, 2549, 653]
[2510, 483, 2587, 654]
[2548, 484, 2625, 654]
[2586, 484, 2663, 654]
[2624, 484, 2701, 654]
[2662, 484, 2739, 654]
[2700, 484, 2777, 654]
[2738, 483, 2815, 654]
[2776, 483, 2853, 654]
[2814, 485, 2891, 654]
[2852, 487, 2929, 655]
[2890, 487, 2967, 655]
[2928, 487, 3005, 655]
[2966, 487, 3043, 655]
[3004, 487, 3081, 655]
[3042, 488, 3119, 655]
[3080, 488, 3157, 655]
[3118, 489, 3195, 655]
[3156, 489, 3233, 656]
[3194, 489, 3271, 656]
[3232, 491, 3309, 656]
[3270, 492, 3347, 658]
[3308, 492, 3385, 658]
[3346, 493, 3423, 659]
[3384, 494, 3461, 659]
[3422, 497, 3499, 659]
[192, 690, 269, 856]
[230, 690, 307, 856]
[268, 690, 345, 856]
[306, 692, 383, 858]
[344, 692, 421, 858]
[382, 692, 459, 858]
[420, 692, 497, 858]
[458, 692, 535, 858]
[496, 692, 573, 859]
[534, 692, 611, 859]
[572, 692, 649, 859]
[610, 692, 687, 859]
[648, 693, 725, 860]
[686, 693, 763, 860]
[724, 693, 801, 860]
[762, 693, 839, 860]
[800, 693, 877, 860]
[838, 693, 915, 860]
[876, 694, 953, 860]
[914, 694, 991, 861]
[952, 694, 1029, 861]
[990, 694, 1067, 861]
[1028, 695, 1105, 861]
[1066, 694, 1143, 861]
[1104, 694, 1181, 861]
[1142, 695, 1219, 863]
[1180, 695, 1257, 863]
[1218, 695, 1295, 863]
[1256, 697, 1333, 863]
[1294, 697, 1371, 864]
[1332, 697, 1409, 864]
