['x', 'y', 'a', 'b']
[202, 275, 312.0, 452]
[312.0, 275, 422, 452]
[312, 275, 422.0, 448]
[422.0, 275, 532, 448]
[422, 275, 532.0, 448]
[532.0, 275, 642, 448]
[532, 275, 642.0, 448]
[642.0, 275, 752, 448]
[642, 276, 752.0, 450]
[752.0, 276, 862, 450]
[752, 278, 862.0, 452]
[862.0, 278, 972, 452]
[862, 280, 972.0, 452]
[972.0, 280, 1082, 452]
[972, 280, 1082.0, 452]
[1082.0, 280, 1192, 452]
[1082, 278, 1192.0, 452]
[1192.0, 278, 1302, 452]
[1192, 278, 1302.0, 450]
[1302.0, 278, 1412, 450]
[1302, 278, 1412.0, 450]
[1412.0, 278, 1522, 450]
[1412, 278, 1522.0, 450]
[1522.0, 278, 1632, 450]
[1522, 278, 1632.0, 450]
[1632.0, 278, 1742, 450]
[1632, 280, 1742.0, 452]
[1742.0, 280, 1852, 452]
[1742, 283, 1852.0, 453]
[1852.0, 283, 1962, 453]
[1852, 285, 1962.0, 455]
[1962.0, 285, 2072, 455]
[1962, 285, 2072.0, 457]
[2072.0, 285, 2182, 457]
[2072, 285, 2182.0, 457]
[2182.0, 285, 2292, 457]
[2182, 283, 2292.0, 457]
[2292.0, 283, 2402, 457]
[2292, 283, 2402.0, 455]
[2402.0, 283, 2512, 455]
[2402, 283, 2512.0, 455]
[2512.0, 283, 2622, 455]
[2512, 283, 2622.0, 453]
[2622.0, 283, 2732, 453]
[2622, 285, 2732.0, 453]
[2732.0, 285, 2842, 453]
[2732, 285, 2842.0, 455]
[2842.0, 285, 2952, 455]
[2842, 289, 2952.0, 457]
[2952.0, 289, 3062, 457]
[2952, 291, 3062.0, 459]
[3062.0, 291, 3172, 459]
[3062, 292, 3172.0, 459]
[3172.0, 292, 3282, 459]
[3172, 294, 3282.0, 462]
[3282.0, 294, 3392, 462]
[3282, 298, 3392.0, 462]
[3392.0, 298, 3502, 462]
[202, 502, 312.0, 677]
[312.0, 502, 422, 677]
[312, 502, 422.0, 675]
[422.0, 502, 532, 675]
[422, 502, 532.0, 675]
[532.0, 502, 642, 675]
[532, 502, 642.0, 675]
[642.0, 502, 752, 675]
[642, 502, 752.0, 675]
[752.0, 502, 862, 675]
[752, 504, 862.0, 675]
[862.0, 504, 972, 675]
[862, 504, 972.0, 675]
[972.0, 504, 1082, 675]
[972, 504, 1082.0, 675]
[1082.0, 504, 1192, 675]
[1082, 502, 1192.0, 675]
[1192.0, 502, 1302, 675]
[1192, 502, 1302.0, 675]
[1302.0, 502, 1412, 675]
[1302, 500, 1412.0, 674]
[1412.0, 500, 1522, 674]
[1412, 500, 1522.0, 674]
[1522.0, 500, 1632, 674]
[1522, 500, 1632.0, 674]
[1632.0, 500, 1742, 674]
[1632, 500, 1742.0, 674]
[1742.0, 500, 1852, 674]
[1742, 500, 1852.0, 674]
[1852.0, 500, 1962, 674]
[1852, 502, 1962.0, 674]
[1962.0, 502, 2072, 674]
[1962, 504, 2072.0, 674]
[2072.0, 504, 2182, 674]
[2072, 504, 2182.0, 674]
[2182.0, 504, 2292, 674]
[2182, 505, 2292.0, 675]
[2292.0, 505, 2402, 675]
[2292, 505, 2402.0, 675]
[2402.0, 505, 2512, 675]
[2402, 505, 2512.0, 675]
