['x', 'y', 'a', 'b']
[266, 145, 408.5, 306]
[408.5, 145, 551, 306]
[408, 145, 550.5, 307]
[550.5, 145, 693, 307]
[550, 145, 692.5, 307]
[692.5, 145, 835, 307]
[692, 145, 834.5, 307]
[834.5, 145, 977, 307]
[834, 145, 976.5, 309]
[976.5, 145, 1119, 309]
[976, 145, 1118.5, 309]
[1118.5, 145, 1261, 309]
[1118, 145, 1260.5, 307]
[1260.5, 145, 1403, 307]
[1260, 147, 1402.5, 307]
[1402.5, 147, 1545, 307]
[1402, 145, 1544.5, 307]
[1544.5, 145, 1687, 307]
[1544, 145, 1686.5, 307]
[1686.5, 145, 1829, 307]
[1686, 145, 1828.5, 307]
[1828.5, 145, 1971, 307]
[1828, 145, 1970.5, 307]
[1970.5, 145, 2113, 307]
[1970, 145, 2112.5, 307]
[2112.5, 145, 2255, 307]
[2112, 145, 2254.5, 307]
[2254.5, 145, 2397, 307]
[2254, 145, 2396.5, 311]
[2396.5, 145, 2539, 311]
[2396, 147, 2538.5, 311]
[2538.5, 147, 2681, 311]
[2538, 148, 2680.5, 314]
[2680.5, 148, 2823, 314]
[2680, 152, 2822.5, 321]
[2822.5, 152, 2965, 321]
[2822, 155, 2964.5, 328]
[2964.5, 155, 3107, 328]
[2964, 162, 3106.5, 340]
[3106.5, 162, 3249, 340]
[3106, 170, 3248.5, 357]
[3248.5, 170, 3391, 357]
[3248, 186, 3390.5, 357]
[3390.5, 186, 3533, 357]
[266, 401, 408.5, 563]
[408.5, 401, 551, 563]
[408, 401, 550.5, 563]
[550.5, 401, 693, 563]
[550, 401, 692.5, 565]
[692.5, 401, 835, 565]
[692, 402, 834.5, 565]
[834.5, 402, 977, 565]
[834, 401, 976.5, 565]
[976.5, 401, 1119, 565]
[976, 401, 1118.5, 567]
[1118.5, 401, 1261, 567]
[1118, 401, 1260.5, 567]
[1260.5, 401, 1403, 567]
[1260, 401, 1402.5, 567]
[1402.5, 401, 1545, 567]
[1402, 401, 1544.5, 567]
[1544.5, 401, 1687, 567]
[1544, 401, 1686.5, 567]
[1686.5, 401, 1829, 567]
[1686, 401, 1828.5, 567]
[1828.5, 401, 1971, 567]
[1828, 402, 1970.5, 567]
[1970.5, 402, 2113, 567]
[1970, 402, 2112.5, 567]
[2112.5, 402, 2255, 567]
[2112, 402, 2254.5, 568]
[2254.5, 402, 2397, 568]
[2254, 402, 2396.5, 568]
[2396.5, 402, 2539, 568]
[2396, 404, 2538.5, 570]
[2538.5, 404, 2681, 570]
[2538, 406, 2680.5, 573]
[2680.5, 406, 2823, 573]
[2680, 407, 2822.5, 577]
[2822.5, 407, 2965, 577]
[2822, 411, 2964.5, 582]
[2964.5, 411, 3107, 582]
[2964, 416, 3106.5, 587]
[3106.5, 416, 3249, 587]
[3106, 421, 3248.5, 599]
[3248.5, 421, 3391, 599]
[3248, 431, 3390.5, 599]
[3390.5, 431, 3533, 599]
[266, 656, 408.5, 821]
[408.5, 656, 551, 821]
[408, 658, 550.5, 821]
[550.5, 658, 693, 821]
[550, 658, 692.5, 822]
[692.5, 658, 835, 822]
[692, 660, 834.5, 822]
[834.5, 660, 977, 822]
[834, 660, 976.5, 822]
[976.5, 660, 1119, 822]
[976, 660, 1118.5, 824]
[1118.5, 660, 1261, 824]
[1118, 661, 1260.5, 826]
[1260.5, 661, 1403, 826]
[1260, 661, 1402.5, 827]
[1402.5, 661, 1545, 827]
[1402, 661, 1544.5, 827]
[1544.5, 661, 1687, 827]
[1544, 661, 1686.5, 827]
[1686.5, 661, 1829, 827]
[1686, 663, 1828.5, 827]
[1828.5, 663, 1971, 827]
[1828, 663, 1970.5, 829]
[1970.5, 663, 2113, 829]
[1970, 663, 2112.5, 829]
[2112.5, 663, 2255, 829]
[2112, 663, 2254.5, 829]
[2254.5, 663, 2397, 829]
[2254, 663, 2396.5, 831]
[2396.5, 663, 2539, 831]
[2396, 663, 2538.5, 833]
[2538.5, 663, 2681, 833]
[2538, 667, 2680.5, 833]
[2680.5, 667, 2823, 833]
[2680, 667, 2822.5, 834]
[2822.5, 667, 2965, 834]
[2822, 668, 2964.5, 836]
[2964.5, 668, 3107, 836]
[2964, 672, 3106.5, 838]
[3106.5, 672, 3249, 838]
[3106, 675, 3248.5, 841]
[3248.5, 675, 3391, 841]
[3248, 678, 3390.5, 841]
[3390.5, 678, 3533, 841]
[266, 912, 408.5, 1073]
[408.5, 912, 551, 1073]
[408, 912, 550.5, 1073]
[550.5, 912, 693, 1073]
[550, 914, 692.5, 1075]
[692.5, 914, 835, 1075]
[692, 914, 834.5, 1076]
[834.5, 914, 977, 1076]
[834, 915, 976.5, 1078]
[976.5, 915, 1119, 1078]
[976, 915, 1118.5, 1080]
[1118.5, 915, 1261, 1080]
[1118, 917, 1260.5, 1080]
[1260.5, 917, 1403, 1080]
[1260, 919, 1402.5, 1081]
[1402.5, 919, 1545, 1081]
[1402, 921, 1544.5, 1081]
[1544.5, 921, 1687, 1081]
[1544, 921, 1686.5, 1081]
[1686.5, 921, 1829, 1081]
[1686, 922, 1828.5, 1085]
[1828.5, 922, 1971, 1085]
[1828, 922, 1970.5, 1087]
[1970.5, 922, 2113, 1087]
[1970, 924, 2112.5, 1088]
[2112.5, 924, 2255, 1088]
[2112, 924, 2254.5, 1088]
[2254.5, 924, 2397, 1088]
[2254, 926, 2396.5, 1092]
[2396.5, 926, 2539, 1092]
[2396, 927, 2538.5, 1092]
[2538.5, 927, 2681, 1092]
[2538, 927, 2680.5, 1092]
[2680.5, 927, 2823, 1092]
[2680, 929, 2822.5, 1092]
[2822.5, 929, 2965, 1092]
[2822, 929, 2964.5, 1092]
[2964.5, 929, 3107, 1092]
[2964, 929, 3106.5, 1090]
[3106.5, 929, 3249, 1090]
[3106, 929, 3248.5, 1088]
[3248.5, 929, 3391, 1088]
[3248, 929, 3390.5, 1087]
[3390.5, 929, 3533, 1087]
[266, 1161, 408.5, 1322]
[408.5, 1161, 551, 1322]
[408, 1163, 550.5, 1325]
[550.5, 1163, 693, 1325]
[550, 1164, 692.5, 1329]
[692.5, 1164, 835, 1329]
[692, 1166, 834.5, 1330]
[834.5, 1166, 977, 1330]
[834, 1168, 976.5, 1332]
[976.5, 1168, 1119, 1332]
[976, 1169, 1118.5, 1335]
[1118.5, 1169, 1261, 1335]
[1118, 1171, 1260.5, 1339]
[1260.5, 1171, 1403, 1339]
[1260, 1175, 1402.5, 1341]
[1402.5, 1175, 1545, 1341]
[1402, 1176, 1544.5, 1342]
[1544.5, 1176, 1687, 1342]
[1544, 1176, 1686.5, 1344]
[1686.5, 1176, 1829, 1344]
[1686, 1180, 1828.5, 1346]
[1828.5, 1180, 1971, 1346]
[1828, 1181, 1970.5, 1349]
