['x1', 'y1', 'x2', 'y2']
[494, 224, 825, 399]
[659, 224, 990, 399]
[824, 224, 1155, 399]
[989, 224, 1320, 399]
[1154, 224, 1485, 399]
[1319, 223, 1650, 399]
[1484, 223, 1815, 399]
[1649, 223, 1980, 399]
[1814, 223, 2145, 399]
[1979, 223, 2310, 399]
[2144, 223, 2475, 400]
[2309, 223, 2640, 400]
[2474, 223, 2805, 399]
[2639, 223, 2970, 399]
[2804, 224, 3135, 399]
[2969, 224, 3300, 399]
[3134, 223, 3465, 399]
[3299, 223, 3630, 400]
[494, 458, 825, 635]
[659, 457, 990, 635]
[824, 457, 1155, 635]
[989, 457, 1320, 635]
[1154, 457, 1485, 635]
[1319, 457, 1650, 635]
[1484, 457, 1815, 635]
[1649, 457, 1980, 635]
[1814, 457, 2145, 634]
[1979, 457, 2310, 634]
[2144, 457, 2475, 634]
[2309, 457, 2640, 634]
[2474, 457, 2805, 635]
[2639, 457, 2970, 635]
[2804, 457, 3135, 635]
[2969, 458, 3300, 635]
[3134, 458, 3465, 635]
[3299, 458, 3630, 635]
[494, 693, 825, 871]
[659, 693, 990, 871]
[824, 693, 1155, 871]
[989, 693, 1320, 871]
[1154, 693, 1485, 871]
[1319, 693, 1650, 871]
[1484, 693, 1815, 871]
[1649, 693, 1980, 871]
[1814, 693, 2145, 871]
[1979, 693, 2310, 871]
[2144, 693, 2475, 871]
[2309, 693, 2640, 871]
[2474, 693, 2805, 871]
[2639, 693, 2970, 871]
[2804, 693, 3135, 871]
[2969, 693, 3300, 871]
[3134, 693, 3465, 871]
[3299, 693, 3630, 871]
[494, 928, 825, 1106]
[659, 929, 990, 1106]
[824, 929, 1155, 1105]
[989, 929, 1320, 1105]
[1154, 929, 1485, 1105]
[1319, 929, 1650, 1105]
[1484, 929, 1815, 1105]
[1649, 929, 1980, 1105]
[1814, 929, 2145, 1105]
[1979, 929, 2310, 1105]
[2144, 929, 2475, 1105]
[2309, 929, 2640, 1105]
[2474, 929, 2805, 1105]
[2639, 929, 2970, 1105]
[2804, 929, 3135, 1105]
[2969, 929, 3300, 1105]
[3134, 929, 3465, 1105]
[3299, 929, 3630, 1106]
