['x1', 'y2', 'w', 'h']
[545, 172, 422, 187]
[755, 170, 422, 189]
[965, 170, 422, 189]
[1175, 170, 422, 187]
[1385, 169, 422, 188]
[1595, 169, 422, 188]
[1805, 167, 422, 188]
[2015, 165, 422, 189]
[2225, 165, 422, 189]
[2435, 165, 422, 187]
[2645, 165, 422, 190]
[2855, 165, 422, 192]
[3065, 167, 422, 197]
[3275, 172, 422, 204]
[545, 425, 422, 189]
[755, 425, 422, 187]
[965, 424, 422, 188]
[1175, 422, 422, 190]
[1385, 422, 422, 190]
[1595, 422, 422, 190]
[1805, 420, 422, 192]
[2015, 419, 422, 193]
[2225, 419, 422, 192]
[2435, 419, 422, 190]
[2645, 420, 422, 191]
[2855, 420, 422, 192]
[3065, 420, 422, 196]
[3275, 424, 422, 200]
[545, 679, 422, 188]
[755, 679, 422, 188]
[965, 679, 422, 188]
[1175, 679, 422, 188]
[1385, 679, 422, 188]
[1595, 679, 422, 188]
[1805, 679, 422, 188]
[2015, 679, 422, 190]
[2225, 677, 422, 192]
[2435, 677, 422, 192]
[2645, 677, 422, 192]
[2855, 677, 422, 192]
[3065, 679, 422, 190]
[3275, 681, 422, 192]
[545, 931, 422, 185]
[755, 931, 422, 185]
[965, 931, 422, 186]
[1175, 932, 422, 187]
[1385, 932, 422, 189]
[1595, 932, 422, 189]
[1805, 934, 422, 189]
[2015, 934, 422, 190]
[2225, 936, 422, 188]
[2435, 936, 422, 190]
[2645, 938, 422, 188]
[2855, 938, 422, 188]
[3065, 936, 422, 190]
[3275, 936, 422, 188]
[545, 1176, 422, 186]
[755, 1177, 422, 189]
[965, 1179, 422, 190]
[1175, 1181, 422, 192]
[1385, 1184, 422, 190]
[1595, 1186, 422, 192]
[1805, 1188, 422, 191]
[2015, 1189, 422, 194]
[2225, 1191, 422, 194]
[2435, 1193, 422, 192]
[2645, 1194, 422, 191]
[2855, 1193, 422, 192]
[3065, 1189, 422, 196]
[3275, 1181, 422, 200]
