               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12453,             0.18917,                   0,                   0,                   0,                   0,                   0,                   0,            0.023976,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12432,             0.17178,                   0,                   0,                   0,                   0,                   0,                   0,            0.023791,                   0,            0.095495,          0.00049505,          0.00049505
                   2,             0.12071,             0.20315,                   0,                   0,                   0,                   0,                   0,                   0,            0.023525,                   0,            0.092784,          0.00078416,          0.00078416
                   3,             0.11944,             0.26839,                   0,                   0,                   0,                   0,                   0,                   0,            0.023302,                   0,            0.090067,           0.0010673,           0.0010673
                   4,             0.11716,             0.22739,                   0,                   0,                   0,                   0,                   0,                   0,            0.023163,                   0,            0.087345,           0.0013446,           0.0013446
                   5,             0.12109,             0.19281,                   0,                   0,                   0,                   0,                   0,                   0,            0.023387,                   0,            0.084616,           0.0016158,           0.0016158
                   6,             0.11824,             0.24522,                   0,                   0,                   0,                   0,                   0,                   0,            0.023464,                   0,            0.081881,           0.0018812,           0.0018812
                   7,               0.116,             0.23072,                   0,                   0,                   0,                   0,                   0,                   0,             0.02408,                   0,            0.079141,           0.0021406,           0.0021406
                   8,            0.092258,             0.16658,                   0,                   0,                   0,                   0,                   0,                   0,            0.024425,                   0,            0.076394,           0.0023941,           0.0023941
                   9,             0.11983,             0.25964,                   0,                   0,                   0,                   0,                   0,                   0,            0.024492,                   0,            0.073642,           0.0026416,           0.0026416
                  10,             0.11873,             0.19533,                   0,                   0,                   0,                   0,                   0,                   0,            0.024492,                   0,            0.070883,           0.0028832,           0.0028832
                  11,             0.11486,             0.20251,                   0,                   0,                   0,                   0,                   0,                   0,            0.026513,                   0,            0.068119,           0.0031189,           0.0031189
                  12,             0.11649,              0.2774,                   0,                   0,                   0,                   0,                   0,                   0,            0.026513,                   0,            0.065349,           0.0033486,           0.0033486
                  13,             0.10928,             0.26166,                   0,                   0,                   0,                   0,                   0,                   0,            0.027157,                   0,            0.062572,           0.0035723,           0.0035723
                  14,              0.1094,             0.21064,                   0,                   0,                   0,                   0,                   0,                   0,            0.027157,                   0,             0.05979,           0.0037902,           0.0037902
                  15,             0.11391,             0.20995,                   0,                   0,                   0,                   0,                   0,                   0,            0.028411,                   0,            0.057002,           0.0040021,           0.0040021
                  16,             0.11484,             0.22428,                   0,                   0,                   0,                   0,                   0,                   0,            0.028411,                   0,            0.054208,            0.004208,            0.004208
                  17,            0.099682,             0.14943,                   0,                   0,                   0,                   0,                   0,                   0,            0.036013,                   0,            0.051408,            0.004408,            0.004408
                  18,             0.10965,             0.24069,                   0,                   0,                   0,                   0,                   0,                   0,            0.036013,                   0,            0.048602,           0.0046021,           0.0046021
                  19,             0.10577,             0.22724,                   0,                   0,                   0,                   0,                   0,                   0,            0.036013,                   0,             0.04579,           0.0047902,           0.0047902
                  20,            0.098315,             0.17342,                   0,                   0,                   0,                   0,                   0,                   0,            0.045884,                   0,            0.042972,           0.0049724,           0.0049724
